VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1535, 7575, -14.17648,  4.29004,  96.19873,  0.89702,  0.20888,  4.19320E-08, -0.57068,  0.82117,  0.86065,  0.06318
1536, 9335,  18.92963,  12.75094, -100.00168,  0.53827,  0.18206,  0.98971, -0.01845, -0.14189,  0.12093,  0.08877
1537, 9336,  18.91755,  12.1139, -99.99997,  0.53827,  0.18771,  0.99413, -0.01928, -0.10641,  0.12345,  0.08877
1538, 9334,  18.29829,  12.1139, -100.70193,  0.53275,  0.18771,  0.50716, -0.01375, -0.86174,  0.12345,  0.09121
1539, 9337,  18.44678,  12.7288, -99.13712,  0.54428,  0.18206,  0.75116, -0.0157,  0.65993,  0.12093,  0.08606
1540, 9338,  18.43867,  12.1139, -99.14261,  0.54428,  0.18771,  0.75239, -0.01558,  0.65854,  0.12345,  0.08606
1541, 9336,  18.91755,  12.1139, -99.99997,  0.53827,  0.18771,  0.99413, -0.01928, -0.10641,  0.12345,  0.08877
1542, 9336,  18.91755,  12.1139, -99.99997,  0.53827,  0.18771,  0.99413, -0.01928, -0.10641,  0.12345,  0.08877
1543, 9335,  18.92963,  12.75094, -100.00168,  0.53827,  0.18206,  0.98971, -0.01845, -0.14189,  0.12093,  0.08877
1544, 9337,  18.44678,  12.7288, -99.13712,  0.54428,  0.18206,  0.75116, -0.0157,  0.65993,  0.12093,  0.08606
1545, 9334,  18.29829,  12.1139, -100.70193,  0.53275,  0.18771,  0.50716, -0.01375, -0.86174,  0.12345,  0.09121
1546, 9333,  18.30524,  12.88092, -100.70963,  0.53275,  0.18206,  0.48995, -0.01295, -0.87166,  0.12093,  0.09121
1547, 9335,  18.92963,  12.75094, -100.00168,  0.53827,  0.18206,  0.98971, -0.01845, -0.14189,  0.12093,  0.08877
1548, 9333,  18.30524,  12.88092, -100.70963,  0.53275,  0.18206,  0.48995, -0.01295, -0.87166,  0.12093,  0.09121
1549, 9334,  18.29829,  12.1139, -100.70193,  0.53275,  0.18771,  0.50716, -0.01375, -0.86174,  0.12345,  0.09121
1550, 9332,  17.27729,  12.1139, -100.92825,  0.52739,  0.18771, -0.17884, -0.01185, -0.98381,  0.12345,  0.09358
1551, 9332,  17.27729,  12.1139, -100.92825,  0.52739,  0.18771, -0.17884, -0.01185, -0.98381,  0.12345,  0.09358
1552, 9331,  17.27564,  12.93954, -100.93771,  0.52739,  0.18206, -0.16944, -0.01202, -0.98547,  0.12093,  0.09358
1553, 9333,  18.30524,  12.88092, -100.70963,  0.53275,  0.18206,  0.48995, -0.01295, -0.87166,  0.12093,  0.09121
1554, 9331,  17.27564,  12.93954, -100.93771,  0.52739,  0.18206, -0.16944, -0.01202, -0.98547,  0.12093,  0.09358
1555, 9332,  17.27729,  12.1139, -100.92825,  0.52739,  0.18771, -0.17884, -0.01185, -0.98381,  0.12345,  0.09358
1556, 9330,  16.33729,  12.1139, -100.31601,  0.52156,  0.18771, -0.86365, -0.01463, -0.50388,  0.12345,  0.0962
1557, 9330,  16.33729,  12.1139, -100.31601,  0.52156,  0.18771, -0.86365, -0.01463, -0.50388,  0.12345,  0.0962
1558, 9327,  16.32777,  12.80123, -100.32028,  0.52156,  0.18206, -0.8491, -0.01531, -0.52801,  0.12093,  0.0962
1559, 9331,  17.27564,  12.93954, -100.93771,  0.52739,  0.18206, -0.16944, -0.01202, -0.98547,  0.12093,  0.09358
1560, 9327,  16.32777,  12.80123, -100.32028,  0.52156,  0.18206, -0.8491, -0.01531, -0.52801,  0.12093,  0.0962
1561, 9330,  16.33729,  12.1139, -100.31601,  0.52156,  0.18771, -0.86365, -0.01463, -0.50388,  0.12345,  0.0962
1562, 9329,  16.26398,  12.11391, -99.1152,  0.51612,  0.18771, -0.89862, -0.01858,  0.43834,  0.12345,  0.09857
1563, 9329,  16.26398,  12.11391, -99.1152,  0.51612,  0.18771, -0.89862, -0.01858,  0.43834,  0.12345,  0.09857
1564, 9328,  16.25385,  12.7288, -99.10947,  0.51612,  0.18206, -0.90049, -0.01872,  0.43447,  0.12093,  0.09857
1565, 9327,  16.32777,  12.80123, -100.32028,  0.52156,  0.18206, -0.8491, -0.01531, -0.52801,  0.12093,  0.0962
1566, 9339,  17.63361,  12.78679, -98.5275,  0.5504,  0.18206,  0.20535, -0.01609,  0.97856,  0.12093,  0.08341
1567, 9340,  17.63227,  12.11391, -98.53812,  0.5504,  0.18771,  0.20806, -0.01602,  0.97799,  0.12345,  0.08341
1568, 9338,  18.43867,  12.1139, -99.14261,  0.54428,  0.18771,  0.75239, -0.01558,  0.65854,  0.12345,  0.08606
1569, 9338,  18.43867,  12.1139, -99.14261,  0.54428,  0.18771,  0.75239, -0.01558,  0.65854,  0.12345,  0.08606
1570, 9337,  18.44678,  12.7288, -99.13712,  0.54428,  0.18206,  0.75116, -0.0157,  0.65993,  0.12093,  0.08606
1571, 9339,  17.63361,  12.78679, -98.5275,  0.5504,  0.18206,  0.20535, -0.01609,  0.97856,  0.12093,  0.08341
