VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
939, 242,  0.8312, -0.21825, -0.2416,  0.86836,  0.70975, -0.17746, -0.85649, -0.48469
940, 244,  0.8341, -0.21145, -0.2021,  0.84609,  0.72162, -0.0809, -0.71406,  0.6954
941, 241,  0.8068, -0.20115, -0.2243,  0.84732,  0.70116, -0.97107, -0.23877, -0.00339
942, 242,  0.8312, -0.21825, -0.2416,  0.86836,  0.70975, -0.17746, -0.85649, -0.48469
943, 243,  0.8337, -0.18745, -0.2559,  0.88665,  0.69884, -0.18216,  0.13902, -0.97339
944, 245,  0.8684, -0.20495, -0.234,  0.88868,  0.72327,  0.82309, -0.49825, -0.27251
945, 244,  0.8341, -0.21145, -0.2021,  0.84609,  0.72162, -0.0809, -0.71406,  0.6954
946, 242,  0.8312, -0.21825, -0.2416,  0.86836,  0.70975, -0.17746, -0.85649, -0.48469
947, 245,  0.8684, -0.20495, -0.234,  0.88868,  0.72327,  0.82309, -0.49825, -0.27251
948, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
949, 247, -0.1559,  0.03395,  1.2471,  0.97771,  0.64915, -0.36377, -0.24312,  0.8992
950, 246, -0.1315,  0.02525,  1.2248,  0.97442,  0.6737,  0.64114, -0.76259, -0.08603
951, 246, -0.1315,  0.02525,  1.2248,  0.97442,  0.6737,  0.64114, -0.76259, -0.08603
952, 249, -0.067,  0.03765,  1.2386,  0.90353,  0.6737,  0.15422, -0.97505, -0.15965
953, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
954, 250, -0.1323,  0.06135,  1.2336,  0.97771,  0.6329,  0.50473,  0.80389,  0.31466
955, 247, -0.1559,  0.03395,  1.2471,  0.97771,  0.64915, -0.36377, -0.24312,  0.8992
956, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
957, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
958, 249, -0.067,  0.03765,  1.2386,  0.90353,  0.6737,  0.15422, -0.97505, -0.15965
959, 251,  3.54094E-17,  0.04285,  1.2434,  0.84367,  0.6737, -3.66019E-16, -0.98561, -0.16902
960, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
961, 252, -0.0679,  0.07435,  1.2475,  0.90682,  0.6329, -0.16666,  0.94275,  0.28887
962, 250, -0.1323,  0.06135,  1.2336,  0.97771,  0.6329,  0.50473,  0.80389,  0.31466
963, 251,  3.54094E-17,  0.04285,  1.2434,  0.84367,  0.6737, -3.66019E-16, -0.98561, -0.16902
964, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
965, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
966, 252, -0.0679,  0.07435,  1.2475,  0.90682,  0.6329, -0.16666,  0.94275,  0.28887
967, 248, -0.0708,  0.05135,  1.2616,  0.90682,  0.64915, -0.1183, -0.20579,  0.97142
968, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
969, 254,  0.0708,  0.05135,  1.2616,  0.90682,  0.64915,  0.1183, -0.20579,  0.97142
970, 253,  3.16900E-17,  0.05845,  1.2673,  0.84695,  0.64915, -8.82064E-10, -0.13655,  0.99063
971, 251,  3.54094E-17,  0.04285,  1.2434,  0.84367,  0.6737, -3.66019E-16, -0.98561, -0.16902
972, 251,  3.54094E-17,  0.04285,  1.2434,  0.84367,  0.6737, -3.66019E-16, -0.98561, -0.16902
973, 255,  0.067,  0.03765,  1.2386,  0.90353,  0.6737, -0.15422, -0.97505, -0.15965
