VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
1830, 515, -0.99315,  15.18064, -1.48519,  0.4264,  0.6712,  0.34814, -0.78083, -0.51876
1831, 538, -0.98531,  15.1526, -1.33193,  0.4383,  0.6829,  0.65008, -0.65446,  0.3861
1832, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1833, 536, -1.14823,  15.13955, -1.25034,  0.4606,  0.6829, -0.16238, -0.49771,  0.85199
1834, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1835, 538, -0.98531,  15.1526, -1.33193,  0.4383,  0.6829,  0.65008, -0.65446,  0.3861
1836, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1837, 540, -1.07145,  15.08979, -1.4277,  0.4419,  0.6666,  0.44845, -0.60679, -0.65628
1838, 515, -0.99315,  15.18064, -1.48519,  0.4264,  0.6712,  0.34814, -0.78083, -0.51876
1839, 536, -1.14823,  15.13955, -1.25034,  0.4606,  0.6829, -0.16238, -0.49771,  0.85199
1840, 541, -1.20376,  15.03887, -1.29112,  0.4644,  0.671, -0.43325, -0.55463,  0.7101
1841, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1842, 540, -1.07145,  15.08979, -1.4277,  0.4419,  0.6666,  0.44845, -0.60679, -0.65628
1843, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1844, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1845, 541, -1.20376,  15.03887, -1.29112,  0.4644,  0.671, -0.43325, -0.55463,  0.7101
1846, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1847, 539, -1.07771,  15.05972, -1.34413,  0.4497,  0.672,  0.58885, -0.72119,  0.36489
1848, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1849, 543, -1.13287,  15.04829, -1.42541,  0.4491,  0.6609,  0.59812,  0.04722, -0.80001
1850, 540, -1.07145,  15.08979, -1.4277,  0.4419,  0.6666,  0.44845, -0.60679, -0.65628
1851, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1852, 541, -1.20376,  15.03887, -1.29112,  0.4644,  0.671, -0.43325, -0.55463,  0.7101
1853, 544, -1.17345,  14.99547, -1.38904,  0.4604,  0.6615, -0.27815, -0.92341,  0.26448
1854, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1855, 545, -1.12158,  14.99194, -1.54997,  0.4505,  0.6464,  0.25705, -0.23954, -0.93624
1856, 543, -1.13287,  15.04829, -1.42541,  0.4491,  0.6609,  0.59812,  0.04722, -0.80001
1857, 544, -1.17345,  14.99547, -1.38904,  0.4604,  0.6615, -0.27815, -0.92341,  0.26448
1858, 545, -1.12158,  14.99194, -1.54997,  0.4505,  0.6464,  0.25705, -0.23954, -0.93624
1859, 542, -1.12765,  15.0072, -1.38937,  0.4544,  0.6633,  0.55772, -0.81218,  0.17122
1860, 548,  0.3747,  15.25884, -1.04649,  0.6882,  0.7167,  0.14716, -0.98257, -0.11304
